Incident_ID,Attack_Type,Severity,Affected_Asset,Loophole_Used,Solution_Applied,Records_Compromised,Financial_Impact_USD
1,SQL Injection,Critical,Web Server,Social Engineering,Patch Update,48333,436196
2,SQL Injection,Medium,Email Server,Weak Password,Firewall Rule Update,17323,183754
3,Malware,Critical,Database,Open Port,Network Monitoring,48440,309241
4,SQL Injection,High,User Endpoint,Open Port,Credential Reset,9224,412487
5,Phishing,Medium,Database,Misconfigured Permissions,Access Revocation,34983,148369
6,Insider Threat,Medium,Email Server,Unpatched Software,Access Revocation,37634,141164
7,Insider Threat,Low,Web Server,Social Engineering,Patch Update,18274,455582
8,SQL Injection,Medium,Web Server,Open Port,Network Monitoring,46721,169871
9,Phishing,Critical,User Endpoint,Open Port,Credential Reset,41545,141885
10,SQL Injection,Critical,User Endpoint,Social Engineering,Patch Update,41625,417598
11,Malware,Critical,Email Server,Unpatched Software,Firewall Rule Update,32084,172593
12,Insider Threat,Low,Database,Social Engineering,Access Revocation,4250,418164
13,Insider Threat,Critical,Web Server,Social Engineering,Network Monitoring,32521,141790
14,Ransomware,High,Email Server,Misconfigured Permissions,Credential Reset,8658,297821
15,DDoS,High,Database,Weak Password,Patch Update,41137,411983
16,DDoS,Low,Database,Open Port,Firewall Rule Update,30018,1354
17,DDoS,Medium,Web Server,Unpatched Software,Network Monitoring,18058,49937
18,SQL Injection,High,Email Server,Weak Password,Access Revocation,43649,474851
19,SQL Injection,Medium,Database,Social Engineering,Access Revocation,47678,367708
20,Phishing,Critical,Database,Weak Password,Patch Update,14086,250984
21,Malware,Medium,Web Server,Misconfigured Permissions,Firewall Rule Update,708,5227
22,SQL Injection,High,Database,Social Engineering,Network Monitoring,31406,38134
23,Phishing,Critical,Database,Weak Password,Patch Update,20635,193708
24,Ransomware,Medium,User Endpoint,Open Port,Network Monitoring,4583,279139
25,Insider Threat,Low,Web Server,Social Engineering,Access Revocation,47445,112702
26,SQL Injection,Medium,User Endpoint,Misconfigured Permissions,Firewall Rule Update,14337,46449
27,Malware,Medium,Database,Misconfigured Permissions,Firewall Rule Update,23138,226123
28,Ransomware,Medium,Web Server,Unpatched Software,Patch Update,16363,291139
29,Insider Threat,High,Database,Unpatched Software,Network Monitoring,34031,319204
30,Insider Threat,Medium,User Endpoint,Unpatched Software,Patch Update,15785,260463
