ID,Name,Manufacturer,Type,Form,Therapy_Area,Pack_Size,Price_INR,Is_Discontinued,Short_Composition1,Short_Composition2,State_Market,Zone,Urban_Rural,Age_Group,Gender,Prescription_Type,Purchase_Channel,Insurance_Covered,Market_Share_%,Customer_Rating,Return_Rate_%,Units_2022,Units_2023,Units_2024,YoY_Growth_2023_vs_2022,YoY_Growth_2024_vs_2023,Avg_Annual_Growth_2022_24,Revenue_2022,Revenue_2023,Revenue_2024
MED0001,Dr.-CNS-288,Dr. Reddy's,Allopathy,Ointment,CNS,100,440.67,Yes,Cetirizine,Clavulanic Acid,Tamil Nadu,South,Urban,0-12 (Child),Female,RX (Prescription),Hospital,No,4.25,4.8,0.7,29932,33011,37018,0.1029,0.1214,0.1121,13190134.44,14546957.37,16312722.06
MED0002,Lupin-VIT-121,Lupin,Allopathy,Tablet,Vitamins,60,52.45,No,Omeprazole,Zinc,Tamil Nadu,South,Urban,0-12 (Child),Female,RX (Prescription),Online,No,2.85,4.6,2.24,19808,22294,22770,0.1256,0.0214,0.0722,1038929.6,1169320.3,1194286.5
MED0003,Sun-ANT-288,Sun Pharma,Allopathy,Ointment,Anti-diabetic,30,402.55,No,Levocetirizine,Hydrochloride,Telangana,South,Semi-Urban,31-50 (Middle Age),Male,RX (Prescription),Pharmacy Store,Yes,3.54,3.6,2.3,19877,22269,25487,0.1204,0.1445,0.1324,8001486.35,8964385.95,10259791.85
MED0004,Mankind-DER-506,Mankind Pharma,Allopathy,Ointment,Dermatology,100,1385.79,Yes,Omeprazole,Magnesium,Uttar Pradesh,North,Urban,0-12 (Child),Female,RX (Prescription),Pharmacy Store,No,2.96,4.4,0.34,19314,21244,22849,0.1,0.0756,0.0877,26765148.06,29439722.76,31663915.71
MED0005,Aurobindo-CNS-464,Aurobindo Pharma,Allopathy,Tablet,CNS,10,1848.84,No,Insulin,Caffeine,Tamil Nadu,South,Urban,31-50 (Middle Age),Male,OTC (Over the Counter),Pharmacy Store,No,2.78,4.1,1.94,14857,16947,19357,0.1407,0.1422,0.1414,27468215.88,31332291.48,35787995.88
MED0006,Zydus-VIT-554,Zydus Lifesciences,Allopathy,Syrup,Vitamins,10,296.62,Yes,Levocetirizine,Hydrochloride,Tamil Nadu,South,Semi-Urban,0-12 (Child),Male,RX (Prescription),Pharmacy Store,No,2.47,4.0,0.93,5661,6148,6373,0.0861,0.0367,0.061,1679165.82,1823619.76,1890359.26
MED0007,Sun-RES-238,Sun Pharma,Ayurveda,Injection,Respiratory,60,119.95,No,Aspirin,Folic Acid,Gujarat,West,Semi-Urban,13-30 (Young Adult),Female,OTC (Over the Counter),Hospital,No,2.56,4.4,1.38,27268,30598,33172,0.1221,0.0841,0.103,3270796.6,3670230.1,3978981.4
MED0008,Sun-RES-448,Sun Pharma,Allopathy,Syrup,Respiratory,10,1325.26,Yes,Azithromycin,Zinc,Telangana,South,Urban,0-12 (Child),Male,RX (Prescription),Online,No,3.93,4.2,1.33,20440,22105,23114,0.0815,0.0457,0.0634,27088314.4,29294872.3,30632059.64
MED0009,Alkem-CAR-870,Alkem Labs,Ayurveda,Capsule,Cardiac,10,1964.6,No,Azithromycin,Sulphate,West Bengal,East,Urban,31-50 (Middle Age),Female,OTC (Over the Counter),Pharmacy Store,No,4.23,4.4,0.31,11661,13250,14208,0.1363,0.0723,0.1038,22909200.6,26030950.0,27913036.8
MED0010,Abbott-GAS-750,Abbott India,Allopathy,Capsule,Gastrointestinal,30,1560.7,Yes,Insulin,Folic Acid,Telangana,South,Urban,13-30 (Young Adult),Male,RX (Prescription),Hospital,Yes,3.71,4.7,2.23,7481,7936,8320,0.0608,0.0485,0.0546,11675596.7,12385715.2,12985024.0
MED0011,Glenmark-ANT-718,Glenmark,Allopathy,Tablet,Anti-infective,20,379.75,Yes,Aspirin,Caffeine,Telangana,South,Semi-Urban,0-12 (Child),Female,OTC (Over the Counter),Hospital,Yes,3.42,3.8,2.47,10800,11776,12626,0.0904,0.0722,0.0812,4101300.0,4471936.0,4794723.5
MED0012,Aurobindo-ANT-984,Aurobindo Pharma,Allopathy,Syrup,Anti-diabetic,100,254.91,Yes,Insulin,Magnesium,Gujarat,West,Urban,51+ (Senior),Female,RX (Prescription),Pharmacy Store,No,0.87,4.0,1.72,12658,13846,14558,0.0939,0.0515,0.0724,3226650.78,3529483.86,3710979.78
MED0013,Aurobindo-ANT-262,Aurobindo Pharma,Allopathy,Syrup,Anti-diabetic,20,955.81,No,Aspirin,Hydrochloride,Punjab,North,Urban,31-50 (Middle Age),Female,RX (Prescription),Pharmacy Store,No,0.68,3.2,1.58,21282,22986,24995,0.0801,0.0874,0.0837,20341548.42,21970248.66,23890470.95
MED0014,Torrent-CAR-488,Torrent Pharma,Allopathy,Tablet,Cardiac,20,803.5,Yes,Paracetamol,None,Punjab,North,Rural,13-30 (Young Adult),Female,OTC (Over the Counter),Hospital,No,5.0,4.0,2.8,20586,21079,23301,0.024,0.1055,0.0639,16540851.0,16936976.5,18722353.5
MED0015,Biocon-CNS-802,Biocon,Allopathy,Tablet,CNS,10,898.38,Yes,Metformin,Magnesium,Gujarat,West,Rural,13-30 (Young Adult),Male,RX (Prescription),Online,No,3.81,4.5,1.33,10108,10489,11475,0.0377,0.0941,0.0655,9080825.04,9423107.82,10308910.5
MED0016,Aurobindo-ANT-792,Aurobindo Pharma,Allopathy,Syrup,Anti-diabetic,100,1246.37,Yes,Atorvastatin,None,Uttar Pradesh,North,Semi-Urban,0-12 (Child),Male,RX (Prescription),Pharmacy Store,No,4.37,4.2,2.5,19380,20680,21637,0.0671,0.0463,0.0566,24154650.6,25774931.6,26967707.69
MED0017,Zydus-GAS-279,Zydus Lifesciences,Allopathy,Injection,Gastrointestinal,15,86.6,No,Omeprazole,Zinc,West Bengal,East,Urban,51+ (Senior),Male,RX (Prescription),Online,No,0.72,4.3,0.24,23585,24839,27705,0.0532,0.1154,0.0838,2042461.0,2151057.4,2399253.0
MED0018,Zydus-CNS-626,Zydus Lifesciences,Ayurveda,Injection,CNS,60,920.83,Yes,Metformin,Hydrochloride,Tamil Nadu,South,Semi-Urban,31-50 (Middle Age),Male,RX (Prescription),Pharmacy Store,Yes,3.49,3.3,0.92,14725,16860,17553,0.1451,0.0411,0.0918,13559221.75,15525193.8,16163328.99
MED0019,Aurobindo-ANT-170,Aurobindo Pharma,Allopathy,Capsule,Anti-infective,100,1485.9,No,Atorvastatin,Zinc,Karnataka,South,Rural,31-50 (Middle Age),Male,RX (Prescription),Pharmacy Store,No,2.74,3.0,0.15,21106,23921,25488,0.1334,0.0655,0.0989,31361405.4,35544213.9,37872619.2
MED0020,Biocon-ANT-392,Biocon,Ayurveda,Injection,Anti-diabetic,100,1868.6,Yes,Metformin,Clavulanic Acid,Karnataka,South,Semi-Urban,51+ (Senior),Male,RX (Prescription),Hospital,Yes,3.99,4.6,1.0,29442,31125,35034,0.0572,0.1256,0.0908,55015321.2,58160175.0,65464532.4
MED0021,Dr.-VIT-410,Dr. Reddy's,Allopathy,Capsule,Vitamins,60,338.06,Yes,Azithromycin,Sulphate,Uttar Pradesh,North,Semi-Urban,31-50 (Middle Age),Female,RX (Prescription),Hospital,No,3.81,3.9,1.81,28475,29181,30203,0.0248,0.035,0.0299,9626258.5,9864928.86,10210426.18
MED0022,Biocon-GAS-313,Biocon,Ayurveda,Syrup,Gastrointestinal,15,1731.5,Yes,Levocetirizine,Calcium,Telangana,South,Urban,31-50 (Middle Age),Male,RX (Prescription),Pharmacy Store,No,4.9,3.1,0.16,13508,14610,16113,0.0816,0.1029,0.0922,23389102.0,25297215.0,27899659.5
MED0023,Zydus-VIT-333,Zydus Lifesciences,Homeopathy,Tablet,Vitamins,20,1779.64,No,Cetirizine,Hydrochloride,Karnataka,South,Urban,31-50 (Middle Age),Male,RX (Prescription),Pharmacy Store,No,0.27,3.9,0.24,5151,5357,6096,0.0401,0.1381,0.0879,9166925.64,9533531.48,10848685.44
MED0024,Divis-CAR-481,Divis Labs,Ayurveda,Injection,Cardiac,60,1093.51,No,Paracetamol,Caffeine,Karnataka,South,Urban,51+ (Senior),Male,OTC (Over the Counter),Pharmacy Store,Yes,1.61,5.0,0.1,12892,13855,15925,0.0747,0.1494,0.1114,14097530.92,15150581.05,17414146.75
MED0025,Cipla-ANT-279,Cipla,Allopathy,Tablet,Anti-infective,100,1725.07,Yes,Levocetirizine,Calcium,Rajasthan,North,Urban,13-30 (Young Adult),Female,RX (Prescription),Hospital,No,2.61,5.0,1.52,26329,27803,29005,0.056,0.0433,0.0496,45419368.03,47962121.21,50035655.35
MED0026,Glenmark-ANT-110,Glenmark,Allopathy,Tablet,Anti-diabetic,60,699.89,No,Cetirizine,Zinc,Gujarat,West,Urban,51+ (Senior),Male,RX (Prescription),Pharmacy Store,No,3.05,3.5,0.04,22809,24969,27136,0.0947,0.0868,0.0907,15963791.01,17475553.41,18992215.04
MED0027,Dr.-DER-623,Dr. Reddy's,Allopathy,Syrup,Dermatology,10,534.18,Yes,Cetirizine,None,Gujarat,West,Urban,51+ (Senior),Female,RX (Prescription),Pharmacy Store,Yes,0.41,3.6,0.25,20972,24112,27097,0.1498,0.1238,0.1367,11202822.96,12880148.16,14474675.46
MED0028,Abbott-ANT-395,Abbott India,Allopathy,Injection,Anti-infective,10,1498.67,Yes,Omeprazole,Clavulanic Acid,Maharashtra,West,Urban,13-30 (Young Adult),Male,RX (Prescription),Pharmacy Store,Yes,4.9,3.4,1.11,12677,14498,15138,0.1437,0.0442,0.0928,18998639.59,21727717.66,22686866.46
MED0029,Cipla-GAS-913,Cipla,Allopathy,Injection,Gastrointestinal,30,506.52,No,Omeprazole,Magnesium,Uttar Pradesh,North,Semi-Urban,13-30 (Young Adult),Male,RX (Prescription),Pharmacy Store,Yes,0.99,4.7,2.5,25977,27807,30761,0.0705,0.1063,0.0882,13157870.04,14084801.64,15581061.72
MED0030,Lupin-GAS-471,Lupin,Allopathy,Syrup,Gastrointestinal,100,944.73,Yes,Aspirin,None,Kerala,South,Rural,31-50 (Middle Age),Male,RX (Prescription),Pharmacy Store,No,3.09,3.5,1.9,24068,27129,29257,0.1272,0.0785,0.1025,22737761.64,25629580.17,27639965.61
MED0031,Alkem-ANT-753,Alkem Labs,Allopathy,Syrup,Anti-diabetic,15,746.02,No,Insulin,Hydrochloride,Karnataka,South,Urban,51+ (Senior),Female,RX (Prescription),Hospital,Yes,3.97,4.6,1.34,5051,5682,6231,0.125,0.0967,0.1107,3768147.02,4238885.64,4648450.62
MED0032,Zydus-CAR-401,Zydus Lifesciences,Allopathy,Capsule,Cardiac,15,808.78,No,Cetirizine,Calcium,Kerala,South,Urban,13-30 (Young Adult),Male,OTC (Over the Counter),Pharmacy Store,Yes,3.99,3.5,2.55,19189,20424,22181,0.0644,0.0861,0.0751,15519679.42,16518522.72,17939549.18
MED0033,Dr.-CNS-790,Dr. Reddy's,Allopathy,Capsule,CNS,15,657.15,Yes,Azithromycin,Folic Acid,Kerala,South,Urban,0-12 (Child),Male,OTC (Over the Counter),Hospital,Yes,3.44,3.9,2.87,17526,18287,18663,0.0435,0.0206,0.0319,11517210.9,12017302.05,12264390.45
MED0034,Glenmark-GAS-522,Glenmark,Allopathy,Injection,Gastrointestinal,60,1080.71,Yes,Levocetirizine,Sulphate,Karnataka,South,Urban,0-12 (Child),Male,RX (Prescription),Pharmacy Store,Yes,3.47,4.1,0.95,6411,7174,8044,0.1192,0.1213,0.1201,6928431.81,7753013.54,8693231.24
MED0035,Aurobindo-ANT-230,Aurobindo Pharma,Allopathy,Syrup,Anti-diabetic,20,1111.92,No,Paracetamol,None,Gujarat,West,Urban,0-12 (Child),Male,OTC (Over the Counter),Pharmacy Store,Yes,2.84,3.1,2.23,25110,28608,31871,0.1393,0.1141,0.1266,27920311.2,31809807.36,35438002.32
MED0036,Lupin-CAR-214,Lupin,Allopathy,Ointment,Cardiac,30,702.04,No,Insulin,Sulphate,Tamil Nadu,South,Semi-Urban,0-12 (Child),Other,RX (Prescription),Hospital,No,4.98,4.9,2.31,13018,14742,15167,0.1325,0.0289,0.0794,9139156.72,10349473.68,10647840.68
MED0037,Lupin-GAS-840,Lupin,Allopathy,Syrup,Gastrointestinal,10,1362.14,No,Cetirizine,Vitamin D3,Telangana,South,Semi-Urban,13-30 (Young Adult),Male,RX (Prescription),Pharmacy Store,No,4.53,4.5,1.47,20346,21413,23500,0.0525,0.0975,0.0747,27714100.44,29167503.82,32010290.0
MED0038,Dr.-CAR-261,Dr. Reddy's,Allopathy,Inhaler,Cardiac,15,1754.92,Yes,Atorvastatin,Zinc,Gujarat,West,Semi-Urban,31-50 (Middle Age),Female,RX (Prescription),Online,No,3.51,4.5,1.77,26116,28606,32055,0.0954,0.1206,0.1079,45831490.72,50201241.52,56253960.6
MED0039,Biocon-CAR-405,Biocon,Allopathy,Injection,Cardiac,100,266.32,No,Amoxicillin,None,Kerala,South,Semi-Urban,31-50 (Middle Age),Other,RX (Prescription),Hospital,No,2.16,4.1,1.03,24570,25599,28837,0.0419,0.1265,0.0834,6543482.4,6817525.68,7679869.84
