ID,Name,Manufacturer,Type,Form,Therapy_Area,Pack_Size,Price_INR,Price_Category,Purchase_Channel,Is_Discontinued,Short_Composition1,Short_Composition2,State_Market,Units_2022,Units_2023,Units_2024,YoY_Growth_2023_vs_2022,YoY_Growth_2024_vs_2023,Avg_Annual_Growth_2022_24,Revenue_2022,Revenue_2023,Revenue_2024,Age_Group,Gender
MED0001,Alkem-ANT-975,Alkem Labs,Ayurveda,Injection,Anti-infective,60,385.13,Medium,Hospital,Yes,Amoxicillin,None,Rajasthan,26584,29412,30742,10.64%,4.52%,7.58%,10238295.92,11327443.56,11839666.46,0-12 (Child),Female
MED0002,Glenmark-CAR-410,Glenmark,Allopathy,Capsule,Cardiac,15,1854.78,High,Online,Yes,Levocetirizine,Caffeine,Kerala,21967,23792,24307,8.31%,2.17%,5.24%,40743952.26,44128925.76,45084137.46,0-12 (Child),Female
MED0003,Lupin-RES-765,Lupin,Homeopathy,Inhaler,Respiratory,15,990.12,High,Pharmacy Store,Yes,Levocetirizine,Clavulanic Acid,Maharashtra,20776,21442,24350,3.21%,13.57%,8.39%,20570733.12,21230153.04,24109422,31-50 (Middle Age),Male
MED0004,Sun-VIT-896,Sun Pharma,Allopathy,Capsule,Vitamins,30,1436.11,High,Pharmacy Store,No,Aspirin,Magnesium,Tamil Nadu,20397,23077,24033,13.14%,4.15%,8.65%,29292335.67,33141110.47,34514031.63,0-12 (Child),Female
MED0005,Aurobindo-ANT-778,Aurobindo Pharma,Allopathy,Syrup,Anti-infective,10,1275.7,High,Pharmacy Store,No,Omeprazole,Zinc,Punjab,9753,10096,10713,3.52%,6.11%,4.82%,12441902.1,12879467.2,13666574.1,31-50 (Middle Age),Male
MED0006,Cipla-GAS-625,Cipla,Allopathy,Syrup,Gastrointestinal,20,341.09,Medium,Pharmacy Store,Yes,Metformin,Magnesium,Gujarat,8095,8619,9148,6.48%,6.14%,6.31%,2761123.55,2939854.71,3120291.32,0-12 (Child),Male
MED0007,Lupin-ANT-117,Lupin,Allopathy,Syrup,Anti-infective,100,249.97,Medium,Hospital,Yes,Atorvastatin,Sulphate,Maharashtra,9908,11024,12103,11.27%,9.79%,10.53%,2476702.76,2755669.28,3025386.91,13-30 (Young Adult),Female
MED0008,Alkem-ANT-174,Alkem Labs,Allopathy,Inhaler,Anti-infective,60,139.68,Low,Online,Yes,Omeprazole,Vitamin D3,Gujarat,22691,24977,26913,10.08%,7.75%,8.92%,3169478.88,3488787.36,3759207.84,0-12 (Child),Male
MED0009,Mankind-GAS-220,Mankind Pharma,Allopathy,Injection,Gastrointestinal,15,1798.4,High,Pharmacy Store,Yes,Metformin,Caffeine,Maharashtra,9323,10178,11637,9.18%,14.34%,11.76%,16766483.2,18304115.2,20927980.8,31-50 (Middle Age),Female
MED0010,Alkem-RES-292,Alkem Labs,Allopathy,Capsule,Respiratory,30,1973.75,High,Hospital,Yes,Amoxicillin,Zinc,West Bengal,18777,20336,21871,8.31%,7.55%,7.93%,37061103.75,40138180,43167886.25,13-30 (Young Adult),Male
MED0011,Cipla-CAR-985,Cipla,Allopathy,Capsule,Cardiac,60,814.51,High,Hospital,No,Paracetamol,Sulphate,Karnataka,23329,24901,25625,6.74%,2.91%,4.83%,19001703.79,20282113.51,20871818.75,0-12 (Child),Female
MED0012,Lupin-RES-202,Lupin,Homeopathy,Ointment,Respiratory,10,659.15,Medium,Pharmacy Store,Yes,Atorvastatin,Folic Acid,Telangana,11162,11393,12989,2.08%,14.01%,8.05%,7357432.3,7509695.95,8561699.35,51+ (Senior),Female
MED0013,Sun-GAS-495,Sun Pharma,Allopathy,Syrup,Gastrointestinal,10,1364.74,High,Pharmacy Store,Yes,Metformin,Sulphate,Kerala,20400,22053,24855,8.11%,12.71%,10.41%,27840696,30096611.22,33920612.7,31-50 (Middle Age),Female
